Name,No. Posts,No. Followers,No. Following,No. Likes Ex 10 post,No. Likes Ex 11 post,No. Likes Ex 12 post,No. self posts from ex 9 posts, Sex,Date
User_414,171,"5,979","4,286",322,313,344,6,m,
User_415,76,"1,746","7,499",50,52,51,8,m,
User_416,52,"3,453","4,185",215,307,251,9,f,
User_417,128,127,376,3,3,3,9,m,
User_418,124,511,"3,944",51,35,33,4,m,
User_419,53,642,"1,641",20,16,13,8,m,
User_420,132,323,966,16,15,18,7,f,
User_421,92,127,294,3,4,6,5,f,
User_422,242,"1,289","1,032",17,21,20,6,f,
User_423,379,308,"4,608",11,21,18,0,m,
User_424,69,602,"5,895",61,81,71,4,m,
User_425,268,"5,321","3,285",132,166,96,9,f,
User_426,59,330,"1,784",44,26,26,5,m,
User_427,76,"7,068","7,191",1498,1956,1757,0,f,
User_428,"1,108","1,021","7,008",85,93,58,1,f,
User_429,56,"1,423","2,601",69,65,73,9,f,
User_430,215,604,"2,750",94,84,68,0,m,
User_431,166,"1,325","1,433",337,253,333,0,m,
User_432,725,284,252,38,40,36,0,m,
User_433,468,830,474,163,199,171,0,m,
User_434,103,145,360,6,11,13,0,m,
User_435,832,579,712,64,71,71,0,m,
User_436,360,732,898,123,152,241,0,m,
User_437,265,261,610,47,55,59,0,m,
User_438,934,278,"1,264",25,28,39,0,m,
User_439,558,"1,108","1,088",91,131,138,0,m,
User_440,969,183,582,24,31,141,0,m,
User_441,295,983,971,163,169,190,0,m,
User_442,277,210,286,93,46,80,0,f,
User_443,750,238,215,45,28,36,3,f,
User_444,239,535,629,225,216,198,0,m,
User_445,109,"3,721","2,327",504,346,473,0,m,
User_446,375,"1,320",707,211,214,210,0,f,
User_447,310,"3,187","4,035",603,572,466,0,m,
User_448,602,844,641,129,260,163,4,f,Mar 26 2017
User_449,187,"1,319",468,40,41,83,4,m,
User_450,72,305,524,32,48,42,7,m,
User_451,207,248,"1,302",15,6,15,2,m,
User_452,161,435,"1,585",47,31,21,2,m,
User_453,213,219,150,62,27,69,9,f,
User_454,364,707,699,35,40,31,7,m,
User_455,350,"9,455","5,121",243,680,247,3,m,
User_456,593,460,439,33,46,14,3,f,
User_457,388,579,630,304,148,147,1,f,
User_458,129,"6,225","1,966",1012,954,853,5,f,
User_459,110,240,329,47,11,23,7,f,
User_460,"1,635","1,309","7,498",25,62,67,2,f,
User_461,59,341,"1,734",2,1,1,9,f,
User_462,728,863,"1,196",128,74,113,6,f,
User_463,"2,698","2,908",899,281,166,246,1,f,
User_464,"1,356","1,161",973,31,31,37,8,f,
User_465,"2,429",520,753,16,44,6,0,f,
User_466,263,136,277,0,1,1,2,f,
User_467,700,833,586,154,99,142,0,f,
User_468,"1,424","1,453",890,98,92,104,2,f,
User_469,"1,266",546,284,85,69,61,2,f,
User_470,509,"1,496","1,049",298,287,211,5,f,
User_471,367,371,307,95,117,101,0,f,
User_472,177,"5,096","5,716",300,234,336,2,m,
User_473,322,"7,876",401,275,247,293,0,f,
User_474,370,"1,841",143,82,81,58,0,f,
User_475,325,277,791,6,11,11,4,f,
User_476,374,535,425,77,63,64,9,m,
